Name,Province,Website,Address,City,Region,,,,REGION - Alberta,
Ar-Rashaad Centre,Ontario,https://arrashaad.com/,"18 Automatic Road, Unit 2, Brampton, ON L6S 5N5",Brampton,Peel Region,,,,La Sarre,Abitibi-Ouest
Assalaam Institute of Quraan,Ontario,https://assalaaminstitute.org/,"3001 Markham Rd #10, Scarborough, ON M1X 1L6",Scarborough,Toronto,,,,Rivière-du-Loup,Bas-Saint-Laurent
Atiya Institute Of Knowledge (Darul Ilm),Ontario,https://www.iokfoundation.org/,"1225 Kennedy Rd J2, Scarborough, ON M1P 4Y1, Canada",Scarborough,Toronto,,,,Brossard,Brossard Region
Baitul Aman Masjid,Ontario,https://danforthcommunitycenter.org/,"3114 Danforth Ave, Scarborough, ON M1L 1B1",Scarborough,Toronto,,,,Québec City,Capitale-Nationale
Baitul Jannah Islamic Center,Ontario,https://www.baituljannah.ca/,"2740 Kingston Road, Scarborough, ON M1M 1M7",Scarborough,Toronto,,,,Victoriaville,Centre-du-Québec
Baitul Mukarram Islamic Society,Ontario,https://bmis.ca/,"3340 Danforth Ave, Toronto, ON M1L 1C6",Scarborough,Toronto,,,,Joliette,Joliette Region
Barrie Mosque,Ontario,https://www.barriemosque.ca/,"155 Ferris Lane, Barrie, ON L4M 1Z3, Canada",Barrie,,,,,Laval,Laval Region
Bayview Muslim Community (Masjid/Mosque),Ontario,https://bayviewmuslim.ca/,"648 Finch Ave E, 2nd Floor, Unit 6, North York, ON M2K 2E6",North York,Toronto,,,,Longueuil,Longueuil Region
Bin Abbas Mosque,Ontario,http://binabbasmosque.org/,"2125 Weston Rd, York, ON M9N 1X8, Canada",North York,Toronto,,,,Saint-Hubert,Longueuil Region
Bosniacki Islamski Centar Hamilton,Ontario,https://bichamilton.com/,"202 Barton St, Stoney Creek, ON L8E 2K2",Hamilton,,,,,Chambly,Montérégie
Bosnian Canadian Islamic Centre,Ontario,https://bkic.ca/,"41 Holborn Ave, London, ON N6J 2P9",London,,,,,Saint-Jean-sur-Richelieu,Montérégie
Bosnian Islamic Assoc Gazi Husrev-Beg,Ontario,https://www.biaghb.com/,"122 N Queen St, Etobicoke, ON M8Z 5V5",Etobicoke,Toronto,,,,Montréal,Montréal Region
Bosnian Islamic Centre,Ontario,https://bictoronto.com/,"75 Birmingham St, Etobicoke, ON M8V 2C3",Etobicoke,Toronto,,,,Montréal-Nord,Montréal Region
Bradford Islamic Community Centre,Ontario,https://bradfordmosque.com/,"136 Holland St E, Unit 8, Bradford, ON L3Z 2B7",Bradford,Simcoe County,,,,Pierrefonds-Roxboro,Montréal Region
Bramalea Islamic Cultural Centre (BICC),Ontario,https://bramaleaicc.ca/,"25 Kings Cross Road, Brampton, ON L6T 3V5",Brampton,Peel Region,,,,Saint-Laurent,Montréal Region
Brampton and Regional Islamic Centre,Ontario,https://baric.ca/,"4525 Ebenezer Road, Units 3, 4 & 5, Brampton, ON L6P 2K8",Brampton,Peel Region,,,,Saint-Léonard,Montréal Region
Brampton Islamic Centre,Ontario,https://bsia.ca/,"6 Lowry Drive, Brampton, ON L7A 1C4",Brampton,Peel Region,,,,Dollard-des-Ormeaux,Montréal Region
Brampton North Community Centre,Ontario,http://bnlc.ca/,"20 Dewside Dr #7, Brampton, ON L6R 3Y3, Canada",Brampton,Peel Region,,,,Gatineau,Outaouais
Brantford Mosque,Ontario,http://www.brantfordmosque.ca/,"192 Greenwich St, Brantford, ON N3S 2X6",Brantford,Brant County,,,,Sherbrooke,Sherbrooke Region
Bukhari Community Centre & Masjid,Ontario,https://bukharicentre.com/,"1052 St. Laurent Blvd Unit 2, Ottawa, ON K1K 3B4, Canada",East Ottawa,Ottawa,,,,Vaudreuil-Dorion,Vaudreuil-Soulanges Region
Caledonia Islamic Center,Ontario,http://caledoniaislamiccenter.ca/,"29 Caithness St E, 2nd floor, Caledonia, ON N3W 1B7, Canada",Caledonia,,,,,Chibougamau,Nord-du-Québec
Cambridge Muslim Society (Jamia Umar Al-Farooq Masjid) cms,Ontario,https://cms.ad-din.site/,"282 Elgin St N, Cambridge, ON N1R 7H9",Cambridge,Waterloo Region,,,,Drummondville,Centre-du-Québec
Chatham Islamic Centre,Ontario,https://www.thecic.ca/,"310 McNaughton Ave W, Chatham, ON N7L 1R9, Canada",Chatham-Kent,,,,,La Pocatière,Bas-Saint-Laurent
Collingwood Islamic Center,Ontario,https://collingwoodic.ca/,"35 Hurontario St, Collingwood, ON L9Y 2L7, Canada",Collingwood,,,,,Trois-Rivières,Mauricie
Cultural Center Islamic Hawkesbury /Hawkesbury Islamic Cultural Center,Ontario,https://hicc-ccih.org/,"388 Main St E, Hawkesbury, ON K6A 1A9, Canada",Hawkesbury,,,,,Shawinigan,Mauricie
Danforth Islamic Centre,Ontario,https://danforthislamiccentre.com/,"3018 Danforth Ave, Toronto, ON M4C 1M7",East York,Toronto,,,,Granby,Montérégie
Dar Al-Tawheed Islamic Centre,Ontario,https://daraltawheed.ca/,"5550 McAdam Road, Mississauga, ON L4Z 1P1",Mississauga,Peel Region,,,,Saint-Hyacinthe,Montérégie
Dar Foundation,Ontario,http://www.darfoundation.com/,"485 Morden Rd, Oakville, ON L6K 3W6",Oakville,Halton Region,,,,Gatineau,Outaouais
Dar-e-Arqam (47 Musalla),Ontario,https://dar-e-arqam.ca/,"47 Thorncliffe Park Dr, East York, ON M4H 1J6",East York,Toronto,,,,Saint-Jérôme,Laurentides
"Darul Arqum , Markaz of Ottawa",Ontario,https://www.darularqum.org/,"4269 Limebank Rd., Ottawa, ON K1V 1G5, Canada",South Ottawa,Ottawa,,,,Rimouski,Bas-Saint-Laurent
Darul Khair Center,Ontario,https://darulkhair.ca/,"86 Ringwood Drive, Unit 36, Stouffville, ON L4A 1C3, Canada",Stouffville,York Region,,,,REGION - Saskatchewan,
Darul Khair Islamic Centre,Ontario,https://darulkhairislamiccenter.com/,"35 St Dennis Dr, Unit 133, North York, ON M3C 1G9",North York,Toronto,,,,Estevan,Estevan
Darul Taqwa Musalla,Ontario,https://darultaqwa.ca/,"1601 Eglinton Ave W, Mississauga, ON L5M 7C1",Mississauga,Peel Region,,,,Moose Jaw,Central Saskatchewan
Darul Uloom Canada,Ontario,https://www.ducanada.org/,"51 Prince St N, Chatham, ON N7M 4J7",Chatham-Kent,,,,,North Battleford,North Battleford
Darul Uloom Ottawa (Masjid&Center),Ontario,https://www.darululoomottawa.org/,"2803 St Joseph Blvd, Orleans-Ottawa, ON K1C 1G6, Canada",East Ottawa,Ottawa,,,,Prince Albert,Prince Albert
Darul-Arqam Musalla,Ontario,https://darularqammusalla.ca/,"3450 Platinum Dr, Building 3545, Unit 2, Mississauga, ON L5M 2R9",Mississauga,Peel Region,,,,Regina,Regina
Darul-Hijra Islamic Centre,Ontario,https://darulhijra.org/,"2050 Kipling Ave, Etobicoke, ON M9W 4J9",Etobicoke,Toronto,,,,Saskatoon,Saskatoon
DawaNet Community Centre,Ontario,https://dawanet.ca/,"5705 Cancross Ct, Mississauga, ON L5R 3E9",Mississauga,Peel Region,,,,Yorkton,Yorkton
Dufferin Muslim Centre - Masjid - Mosque- Musalla,Ontario,https://dufferinmuslimcentre.ca/,"506195 ON-89, Unit #1, Shelburne, ON L9V 0N7, Canada",Shelburne,Dufferin County,,,,Swift Current,Swift Current
East Ottawa Masjid and Community Center (EOMCC),Ontario,https://eomcc.ca/,"967 St Laurent Blvd, Ottawa, ON K1K 3B1, Canada",East Ottawa,Ottawa,,,,Lloydminster,Lloydminster
Erin Islamic Cultural Center,Ontario,https://www.wellington.ca/business-development/business-directory/erin-islamic-cultural-center,"103 Main St, Erin, ON N0B 1T0, Canada",Erin,Wellington County,,,,Rosetown,Rosetown
Faith Mosque,Ontario,https://torontofatih.ca/,"182 Rhodes Ave, Toronto, ON M4L 3A1, Canada",East Toronto,Toronto,,,,REGION - Yukon,
Faizan e Madina Masjid (Hamilton),Ontario,https://www.dawateislami.net/,"1202 Dunsmure Rd, Hamilton, ON L8H 1L4, Canada",Hamilton,,,,,Whitehorse,Whitehorse Region
Galt Islamic Centre,Ontario,https://www.galtislamic.com/,"431 Dundas St N, Cambridge, ON N1R 5R5",Cambridge,Waterloo Region,,,,,
Georgetown Masjid (Sayyiduna uthman islamic academy),Ontario,https://suia.ad-din.site/,"100 Mountainview Rd S, Georgetown, ON L7G 4K6",Georgetown,Halton Region,,,,,
Ha-Meem Musalla (Peace and Harmony Center),Ontario,http://www.wphc.ca/,"38 Sky Harbour Dr, Brampton, ON L6Y 0V6",Brampton,Peel Region,,,,,
Hadi Islamic Association,Ontario,http://hadimosque.com/,"40 South Station St, Toronto, ON M9N 2B3, Canada",Downtown Toronto,Toronto,,,,,
Halton Islamic Association (HIA) - Masjid,Ontario,https://www.hia.live/,"4310 Fairview St, Burlington, ON L7L 4Y8",Burlington,Halton Region,,,,,
Hamilton Downtown Mosque,Ontario,https://downtownmosque.com/,"221 York Blvd, Hamilton, ON L8R 1Y6",Hamilton,,,,,,
Hamilton Mountain Masjid,Ontario,https://www.mahcanada.com/,"1545 Stone Church Rd E, Hamilton, ON L8W 3P8",Hamilton,,,,,,
Hamza Mosque,Ontario,https://www.hamzamasjid.com/,"1287 Queen St W, Toronto, ON M6K 1L6",West Toronto,Toronto,,,,,
Hawkesbury Jame Masjid,Ontario,,"878 McGill St, Hawkesbury, ON K6A 1R6",Hawkesbury,,,,,,
Hespeler Masjid,Ontario,https://centres.macnet.ca/hespelermasjid/,"64 Winston Blvd, Cambridge, ON N3C 1L6",Cambridge,Waterloo Region,,,,,
HIA Musalla - Masjid,Ontario,https://www.hia.live/,"4265 Thomas Alton Blvd, Units 201-203, Burlington, ON L7M 0M9, Canada",Burlington,Halton Region,,,,,
Huda Musallah (Unit 411),Ontario,https://hudamusallah.com/,"975 Kennedy Rd, Scarborough, ON M1P 2K5",Scarborough,Toronto,,,,,
Huttonville Jame Masjid,Ontario,http://www.wphc.ca/,"2051 Embleton Rd, Brampton, ON L6Y 0E9",Brampton,Peel Region,,,,,
Hyatt Mosque & Centre,Ontario,https://www.hyattmosquecenter.com/,"282 Hamilton Rd, London, ON N5Z 1R3",London,,,,,,
Ibrahim Jame Mosque,Ontario,https://www.ibrahimjamemosque.ca/,"778 King St E, Hamilton, ON L8M 1A6",Hamilton,,,,,,
ICNA Ar-Rehman Islamic Center,Ontario,https://aric-icna.ca/,"6120 Montevideo Rd, Mississauga, ON L5N 3W5",Mississauga,Peel Region,,,,,
ICNR-Masjid Bayt Al Iman,Ontario,https://icnr.ca/,"1935 Thorold Townline Rd, Thorold, ON, Canada",Thorold,Niagara Region,,,,,
Ilm Institute of LaSalle - Masjid,Ontario,https://ilminstitutelasalle.ca/,"1740 Sprucewood Ave Unit 2, LaSalle, ON N9J 1X7",LaSalle,Essex County,,,,,
Imam Bukhari Centre (Ahle-Hadith Society of Canada),Ontario,https://ahlehadithcanada.org/,"50 Steeles Avenue East, Unit 8, Milton, ON L9T 4W9, Canada",Milton,Halton Region,,,,,
Imdadul Islamic Centre,Ontario,https://imdadulmasjid.com/,"26 Lepage Crt, North York, ON M3J 1Z9",North York,Toronto,,,,,
International Muslims Organization,Ontario,https://imooftoronto.com/,"65 Rexdale Blvd, Etobicoke, ON M9W 1P1",Etobicoke,Toronto,,,,,
Iqra Masjid - Durham Islamic Centre,Ontario,https://durhamislamiccentre.ca/,"4618 Country Lane, Whitby, ON L1P 1V7",Whitby,Durham Region,,,,,
Islamic Association of Sault Ste. Marie,Ontario,http://www.iassm.ca/,"2 Towers St, Sault Ste. Marie, ON P6A 2T9, Canada",Sault Ste. Marie,,,,,,
Islamic Centre of Bowmanville,Ontario,https://icbmasjid.com/,"4 Division St, Bowmanville, ON L1C 2Z1",Clarington,Durham Region,,,,,
Islamic Centre of Brant,Ontario,https://icbrant.ca/,"143 King Edward St, Paris, ON N3L 3E3, Canada",Paris,Brant County,,,,,
Islamic Centre of Cambridge,Ontario,https://www.iccambridge.com/,"1550 Dunbar Rd, Cambridge, ON N1R 8J5",Cambridge,Waterloo Region,,,,,
Islamic Centre of Kingston,Ontario,https://kingstonmuslims.ca/,"1477 Sydenham Road, Kingston, ON K7L 4V4, Canada",Kingston,,,,,,
Islamic Centre of Markham / Masjid Darul Iman,Ontario,https://daruliman.org/,"1330 Castlemore Ave, Markham, ON L6E 1A4",Markham,York Region,,,,,
Islamic Centre of Northern Ontario,Ontario,https://www.iconosudbury.com/,"1534 Pioneer Rd, Sudbury, ON P3G 1A8, Canada",Sudbury,Northern Ontario,,,,,
Islamic Centre of Oshawa,Ontario,https://oshawamosque.com/,"23 Lloyd St, Oshawa, ON L1H 1X2",Oshawa,Durham Region,,,,,
Islamic Centre of Southwest Ontario,Ontario,https://islamiccentre.ca/,"951 Pond Mills Rd, London, ON N6N 1C3",London,,,,,,
Islamic Centre of Waterloo - ICW,Ontario,http://icwaterloo.com/,"510 Erbsville Rd, Waterloo, ON N2J 3Z4, Canada",Waterloo,Waterloo Region,,,,,
Islamic Community Centre of Milton,Ontario,http://www.icnamilton.com/,"8069 Esquesing Line, Milton, ON L9T 7L4",Milton,Halton Region,,,,,
Islamic Community Centre of Ontario (ICCO) MAC Masjid/Mosque,Ontario,http://icco.ca/,"2550 Dunwin Dr, Mississauga, ON L5L 1T1",Mississauga,Peel Region,,,,,
Islamic Community of West Niagara,Ontario,https://www.icwn.ca/,"4287 William St, Beamsville, ON L0R 1B0, Canada",Lincoln,Niagara Region,,,,,
Islamic Forum Of Canada,Ontario,https://islamicforumonline.com/,"200 Advance Blvd, Brampton, ON L6T 4V4, Canada",Brampton,Peel Region,,,,,
Islamic Foundation of Toronto,Ontario,https://www.islamicfoundation.ca/,"441 Nugget Ave, Scarborough, ON M1S 5E1",Scarborough,Toronto,,,,,
Islamic Information & Dawah Centre International,Ontario,https://islaminfo.com/,"1168 Bloor St W, Toronto, ON M6H 1N1, Canada",West Toronto,Toronto,,,,,
Islamic Institute of Toronto (IIT),Ontario,https://islam.ca/,"1630 Neilson Rd, Scarborough, ON M1X 1S3",Scarborough,Toronto,,,,,
Islamic Society of Ajax - Masjid Quba,Ontario,https://www.ajaxmasjid.ca/,"1501 Harwood Ave N, Ajax, ON L1T 4T9",Ajax,Durham Region,,,,,
Islamic Society of Belleville,Ontario,https://bellevillemasjid.ca/,"33 Moira St W, Belleville, ON K8P 1S1, Canada",Belleville,Quinte Region,,,,,
Islamic Society of Guelph,Ontario,http://isofg.ca/,"126 Norwich St E, Guelph, ON N1E 2G7",Guelph,,,,,,
Islamic Society of Markham - Jam'e Masjid Markham,Ontario,https://markhammasjid.ca/,"2900 Denison St, Markham, ON L3S 4J8, Canada",Markham,York Region,,,,,
Islamic Society of Niagara Peninsula,Ontario,http://isnp.ca/,"Lyons Creek Road, Niagara Falls, ON",Niagara Falls,Niagara Region,,,,,
Islamic Society of Sandy Hill,Ontario,https://isosh.ca/,"117 Mann Ave, Ottawa, ON K1N 5A4",Central Ottawa,Ottawa,,,,,
Islamic Society of Stirling,Ontario,https://prayersconnect.com/mosques/12492485-islamic-society-of-stirling-marmora-ontario-canada,"1380 Stouffville Rd, Richmond Hill, ON L4E 3S3, Canada",Stirling,,,,,,
Islamic Society of Vaughan,Ontario,https://islamicsocietyvaughan.ca/,"9100 Jane St, Units 22-24, Vaughan, ON L4K 0A4",Vaughan,York Region,,,,,
Islamic Society of York,Ontario,https://isyr.org/,"1380 Stouffville Rd, Richmond Hill, ON L4E 3S3",Richmond Hill,York Region,,,,,
ISNA Canada,Ontario,https://www.isnacanada.com/,"2200 South Sheridan Way, Mississauga, ON L5J 2M4",Mississauga,Peel Region,,,,,
Jaame Masjid Scarborough (Central Mosque),Ontario,https://scarborough-mosque-hub.lovable.app/,"3665-3667 Lawrence Ave E, Scarborough, ON M1G 1P7",Scarborough,Toronto,,,,,
Jame Makki Masjid,Ontario,https://www.makkimasjid.ca/,"8450 Torbram Rd, Brampton, ON L6T 4M9",Brampton,Peel Region,,,,,
Jame Masjid (Coopers Masjid),Ontario,https://ipcontario.com/,"5761 Coopers Ave, Mississauga, ON L4Z 0C5",Mississauga,Peel Region,,,,,
Jame Masjid Oakville : Noor-UL- Haram,Ontario,https://wimcanada.com/,"2478 Ninth Line, Oakville, ON L6H 7G9",Oakville,Halton Region,,,,,
Jami Masjid / Mosque Chatham,Ontario,https://jmc.ad-din.site/,"416 Lacroix St, Chatham, ON N7M 2W3",Chatham-Kent,,,,,,
Jami Masjid Zakariya,Ontario,https://cornwallmasjid.ca/,"333 Second Street East, Cornwall, ON K6H 1Y8, Canada",Cornwall,,,,,,
Jami Mosque Toronto | ISNA Canada,Ontario,https://www.isnacanada.com/our-spaces/jami-masjid/,"56 Boustead Ave, Toronto, ON M6R 1Y9",West Toronto,Toronto,,,,,
Jami Omar Mosque,Ontario,https://www.jamiomar.org/,"3990 Old Richmond Rd, Ottawa, ON K2H 8R5, Canada",West Ottawa,Ottawa,,,,,
Jamia Imam E Azam,Ontario,https://jamiaimameazam.com/,"51 McMurchy Avenue South, Brampton, ON L6Y 1Y5, Canada",Brampton,Peel Region,,,,,
Jamia Islamia Canada,Ontario,https://www.jamiaislamia.org/,"2380 Tedlo St, Mississauga, ON L5A 3V3",Mississauga,Peel Region,,,,,
Jamia Masjid Al Aqsa,Ontario,http://www.alaqsamasjid.ca/,"507 Pitt St, Cornwall, ON K6J 3R4",Cornwall,,,,,,
Jamia Masjid Bilal & Community Centre,Ontario,https://parismasjid.ca/,"26 Spruce St, Paris, ON N3L 3A4",Paris,Brant County,,,,,
Jamia Masjid Khaatam Ul Anbiyah (KTA Masjid) Muslim Council of Ontario,Ontario,https://ktamasjid.ad-din.site/,"26 Franklin St S, Kitchener, ON N2C 1R4, Canada",Kitchener,Waterloo Region,,,,,
Jamia Riyadhul-Jannah,Ontario,https://www.mississaugamasjid.com/,"6680 Campobello Rd, Mississauga, ON L5N 2L8",Mississauga,Peel Region,,,,,
Jamiah Qasimul Uloom,Ontario,https://www.jquloom.ca/,"3482 Lawrence Ave E, 2nd floor, Unit 208, Scarborough, ON M1H 3E5, Canada",Scarborough,Toronto,,,,,
Jannatul Ferdous Mosque,Ontario,https://jannatulferdous.ca/,"1701 Martin Grove Rd, Unit 11, Etobicoke, ON M9V 4N4",Etobicoke,Toronto,,,,,
Kanata Muslim Association,Ontario,https://kanatamuslims.ca/,"351 Sandhill Road, Kanata, ON K2K 1X7, Canada",West Ottawa,Ottawa,,,,,
Kawartha Muslim Religious Association,Ontario,https://www.kmrapeterborough.org/,"784 Parkhill Rd W, Peterborough, ON K9J 6N9, Canada",Peterborough,,,,,,
Khalid Bin Al-Walid Mosque,Ontario,https://www.khalidmosque.com/,"16 Bethridge Rd, Etobicoke, ON M9W 1N1",Etobicoke,Toronto,,,,,
Kincardine Islamic Centre,Ontario,https://kincardineic.com/,"969 Queen St, Kincardine, ON, Canada",Kincardine,Bruce County,,,,,
Kitchener Masjid (Muslim Association of Canada),Ontario,https://centres.macnet.ca/kitchenermasjid/,"1017 Victoria St N, Kitchener, ON N2B 3C7",Kitchener,Waterloo Region,,,,,
Lakeridge Islamic Centre,Ontario,,,Whitby,Durham Region,,,,,
Lantern of Knowledge Academy Flemingdon Musalla,Ontario,https://lanternofknowledgeacademy.ca/,"747 Don Mills Rd, Unit 29, Toronto, ON M3C 3S4, Canada",North York,Toronto,,,,,
Lindsay Masjid,Ontario,https://www.facebook.com/profile.php?id=61588628381264,"280 Kent St W, Kawartha Lakes, ON K9V 2Z6",Lindsay,,,,,,
London Muslim Mosque,Ontario,https://www.londonmosque.ca/,"151 Oxford St W, London, ON N6H 1S3",London,,,,,,
MAC Barrhaven Islamic Centre (BIC),Ontario,http://www.macbic.ca/,"3971 Greenbank Rd, Nepean, ON K2C 3H2",South Ottawa,Ottawa,,,,,
MAC Hyde Park Masjid & Youth Center,Ontario,https://centres.macnet.ca/machydepark/,"9-1175 Hyde Park Rd, London, ON N6H 5K6, Canada",London,,,,,,
MAC Noor Gardens,Ontario,https://centres.macnet.ca/masonville/,"457 Southdale Rd W, London, ON N6P 1M7",London,,,,,,
MAC Qurtuba Islamic Centre,Ontario,https://centres.macnet.ca/qic/,"1950 Merivale Rd, Nepean, ON K2G 0B7",West Ottawa,Ottawa,,,,,
Madina Institute - Canada,Ontario,https://madinainstitute.ca/,"520 Speers Rd, Oakville, ON L6K 2G3",Oakville,Halton Region,,,,,
Madinah Masjid (Mosque),Ontario,https://madinahmasjid.ca/,"1015 Danforth Ave, Toronto, ON M4J 1M1",East York,Toronto,,,,,
Malton Islamic Centre,Ontario,https://www.maltonislamiccentre.com/,"6836 Professional Ct, Mississauga, ON L4V 1X6",Mississauga,Peel Region,,,,,
Malton Mosque,Ontario,https://maltonmasjid.ad-din.site/,"7097 Airport Rd, Mississauga, ON L4T 2G7",Mississauga,Peel Region,,,,,
Markaz At-Tawheed Ottawa,Ontario,https://www.tawheed.ca/,"2835 Dumaurier Ave, Ottawa, ON K2B 7W3, Canada",East Ottawa,Ottawa,,,,,
Markham Muslim Association,Ontario,https://www.themma.ca/,"6545 Highway 7 East, Units 13 & 14, Markham, ON, Canada",Markham,York Region,,,,,
Masjid - Muslim Society of Guelph,Ontario,https://msofg.org/,"286 Water St, Guelph, ON, Canada",Guelph,,,,,,
,Ontario,,,Trenton,Pictou County,,,,,
Masjid ad-Da'wah,Ontario,https://dilc.ca/,"30 Dean Park Rd, Scarborough, ON M1B 3H1",Scarborough,Toronto,,,,,
Masjid Aisha,Ontario,https://centres.macnet.ca/masjidaisha/,"44 Marlborough Rd, Guelph, ON N1E 3X2",Guelph,,,,,,
"Masjid Al Abedeen, Islamic Research Center of Canada Inc.",Ontario,https://irccan.com/,"1 Stamford Square N, Scarborough, ON M1L 1X4",Scarborough,Toronto,,,,,
Masjid Al-Aqsaa,Ontario,https://masjidalaqsaa.com/,"43 Station St, Ajax, ON L1S 1S2",Ajax,Durham Region,,,,,
Masjid Al-Ezz,Ontario,https://masjidalezz.com/,"10 Falconer Dr #8, Mississauga, ON L5N 3L8",Mississauga,Peel Region,,,,,
Masjid Al-Faisal (Islamic Society of Willowdale),Ontario,https://masjidalfaisal.com/,"3551 Victoria Park Ave, Scarborough, ON M1W 2H2, Canada",Scarborough,Toronto,,,,,
Masjid Al-Farooq,Ontario,http://www.masjidfarooq.com/,"935 Eglinton Ave W, Mississauga, ON L5V 1R6",Mississauga,Peel Region,,,,,
Masjid Al-Ghafoor,Ontario,https://al-ghafoor.com/,"277 Division St, Unit 2, Cobourg, ON K9A 3R2, Canada",Cobourg,Northumberland County,,,,,
Masjid Al-Hidaya (Markaz),Ontario,https://mah.ad-din.site/,"1100 Birchmount Rd, Scarborough, ON M1K 5H9",Scarborough,Toronto,,,,,
Masjid Al-Istiqama,Ontario,https://www.istiqamamasjid.com/,"1357 Martin Grove Rd, Unit 1, Etobicoke, ON M9W 4X6",Etobicoke,Toronto,,,,,
Masjid Al-Jannah,Ontario,http://www.slifo.ca/,"2201 Ellesmere Rd, Scarborough, ON M1G 3M6",Scarborough,Toronto,,,,,
Masjid Al-Mu'mineen,Ontario,https://masjidalmumineen.ca/,"663 King St, Welland, ON, Canada",Welland,Niagara Region,,,,,
Masjid Al-Salam / Al-Salam School,Ontario,http://www.mpicbrampton.com/,"160 Salvation Rd, Brampton, ON L7A 0W7",Brampton,Peel Region,,,,,
Masjid Alabrar Aurora,Ontario,http://www.alabrar.ca/,"33 Wellington St E, Aurora, ON L4G 1H4, Canada",Aurora,York Region,,,,,
Masjid Alhakeem Bowmanville,Ontario,https://alhakeem.ca/,"2197 Maple Grove Rd, Bowmanville, ON L1C 6N1",Clarington,Durham Region,,,,,
Masjid Ali,Ontario,http://masjidali.ca/,"151 Morningside Ave, Scarborough, ON M1E 2J2",Scarborough,Toronto,,,,,
Masjid Alwadood,Ontario,https://www.wadood.ca/,"111 Church St N, Orono, ON L0B 1M0",Clarington,Durham Region,,,,,
Masjid Ameer Hamza,Ontario,https://masjidameerhamza.org/,"109 Chaffey St, Welland, ON L3B 2Y6",Welland,Niagara Region,,,,,
Masjid An Noor (Islamic Society of St. Catharines),Ontario,https://islamicsocietyofstcatharines.ca/,"117 Geneva St, St. Catharines, ON L2R 4N3",St. Catharines,Niagara Region,,,,,
Masjid Ar-Rahmah,Ontario,https://www.mymasjid.ca/,"1216 Hunt Club Rd, Ottawa, ON K1V 2P1",South Ottawa,Ottawa,,,,,
Masjid Assalam (CUCUM - Canadian United Community for Ugandan Muslims),Ontario,https://www.cucum.org/,"1733 Eglinton Ave W, York, ON M6E 2H4",North York,Toronto,,,,,
MASJID AT-TAQWA,Ontario,https://piousmosque.com/,"1970 Tourangeau Rd, Windsor, ON N8W 4N3, Canada",Windsor,Essex County,,,,,
Masjid Bilal,Ontario,http://www.masjidbilal.org/,"214 Markham Rd, Scarborough, ON M1J 3C2",East Ottawa,Ottawa,,,,,
Masjid Bilal Muslim Association,Ontario,https://masjidbilal.ca/,"4509 Innes Rd, Orléans, ON K4A 3J7",Scarborough,Toronto,,,,,
Masjid Daru-Al-Ullum Education Community center [Car Wash Building],Ontario,,"16 Orfus Rd Unit 204, North York, ON M6A 2T5",North York,Toronto,,,,,
Masjid Darussalam (Islamic Society of Toronto),Ontario,https://www.islamicsocietyoftoronto.com/,"20 Overlea Blvd, Toronto, ON M4H 1A4",East York,Toronto,,,,,
"MASJID DRIVE MASJID,Jamiat Ul Ansar of Brampton,",Ontario,https://jamiatalansar.ca/,"1 Masjid Drive, Brampton, ON L6R 2Z4",Brampton,Peel Region,,,,,
Masjid E Ayesha WHITBY,Ontario,https://www.whitbymasjid.ca/,"221 Kendalwood Rd, Whitby, ON L1N 2G1",Whitby,Durham Region,,,,,
Masjid Huzaifah,Ontario,https://www.masjidhuzaifah.com/,"18 Progress Ave, Scarborough, ON M1P 2Y4",Scarborough,Toronto,,,,,
Masjid Khadijah (mosque),Ontario,https://www.masjidkhadijah.ca/,"100 Nipissing Rd, Units 7/8, Milton, ON L9T 5B2",Milton,Halton Region,,,,,
Masjid Noor-ul-Islam,Ontario,https://noorulislam.ca/,"659 Lincoln Rd, Windsor, ON N8Y 2G8",Windsor,Essex County,,,,,
Masjid Nuh,Ontario,,"35 Queen St, Fort Erie, ON L2A 1T6",Fort Erie,Niagara Region,,,,,
Masjid Omar Bin Al-Khatab,Ontario,https://www.masjidomarbinkhatab.ca/,"232 Parliament St, Toronto, ON M5A 3N6",Downtown Toronto,Toronto,,,,,
Masjid Rahmatul-lil-Alameen,Ontario,https://rahmatmasjid.com/,"205 N Service Rd, Mississauga, ON L5A 1A4",Mississauga,Peel Region,,,,,
Masjid Sirat Al Mustaqim,Ontario,https://thestraightpath.ca/,"105 Kennedy Rd S, Brampton, ON L6W 3G2",Brampton,Peel Region,,,,,
Masjid Subhan Ajax,Ontario,https://subhanislamicassociation.org/,"465 Kingston Rd W, Ajax, ON L1S 6M1",Ajax,Durham Region,,,,,
Masjid Subhan Scarborough,Ontario,https://subhanislamicassociation.org/,"2956 Eglinton Ave E, Scarborough, ON M1J 2E7",Scarborough,Toronto,,,,,
Masjid Syyadina Omar Farookh,Ontario,https://masjidomarfarooq.com/,"4640 Kingston Rd, Scarborough, ON M1E 2P9",Scarborough,Toronto,,,,,
Masjid Taqwa,Ontario,http://www.taqwamasjid.ca/,"14 Ladysmith Ave, Toronto, ON M4J 4H7",East York,Toronto,,,,,
Masjid Tayyaba Educational Islamic Centre,Ontario,http://www.tayyabamasjid.ca/,"4640 Kingston Rd, Scarborough, ON M1E 2P9",Scarborough,Toronto,,,,,
Masjid Toronto (Adelaide),Ontario,https://centres.macnet.ca/masjidtoronto/,"86 Adelaide St E, Toronto, ON M5C 1K6",Downtown Toronto,Toronto,,,,,
